bs-fcep,vps2admin,/home/admin/web/europeancollege.it/public_html/wp-content/ai1wm-backups
bs-circolo-tennis,vps2admin,/home/admin//web/ctmassalombarda.it/public_html/wp-content/ai1wm-backups
bs-fm-barber,vps2admin,/home/admin/web/fmbarberlab.it/public_html/wp-content/ai1wm-backups
ar-negozio-ferrara,vps2developer,/home/developer/web/ferrara.altuofianco.com/public_html/wp-content/ai1wm-backups
lm-artplexiglass,vps5host,/home/host/web/artplexiglass.it/public_html/wp-content/ai1wm-backups
bs-milone-impianti,vps6master,/home/webmaster/web/milone.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-erzegovaz,vps6master,/home/webmaster/web/erzegovaz.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-bmp-modena,vps6master,/home/webmaster/web/bmp.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-catelanni,vps6master,/home/webmaster/web/catellani.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-sbe,vps6master,/home/webmaster/web/sbe.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-enerteck,vps6master,/home/webmaster/web/enerteck.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-cerkio-group,vps6master,/home/webmaster/web/cerkiogroup.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-liberia-scattisparsi,vps6master,/home/webmaster/web/scattisparsi.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-autofficina-miniotti,vps6master,/home/webmaster/web/miniotti.altuofianco.com/public_html/wp-content/ai1wm-backups
bs-eti-srl,vps6master,/home/webmaster/web/eti.altuofianco.com/public_html/wp-content/ai1wm-backups
bridge,vps6master,/home/webmaster/web/ferrera.altuofianco.com/public_html/wp-content/ai1wm-backups
